Année;Domaine;Domein;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
2014;PE délivrés;MV afgeleverd;94;Matières synthétiques (dépôts);Kunststof (opslagplaatsen);5;3;2
2014;PE délivrés;MV afgeleverd;49;Déchets non dangereux;Niet gevaarlijke afvalstoffen;1;0;1
2014;PE délivrés;MV afgeleverd;128;Produits pharmaceutiques (préparation);Farmaceutische producten (aanmaak);1;0;1
2014;PE délivrés;MV afgeleverd;130;Produits chimiques (préparation);Scheikundige producten (productie);1;0;1
2014;PE délivrés;MV afgeleverd;101;Métaux, tours;Metaaldraaibank;0;0;0
2019;PE délivrés;MV afgeleverd;59;Explosifs, airbags;Explosieven, airbags;9;3;6
2019;PE délivrés;MV afgeleverd;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;7;2;5
2019;PE délivrés;MV afgeleverd;47;Déchets inertes (dépôts);Inerte afvalstoffen (opslagplaat-sen);3;0;3
2019;PE délivrés;MV afgeleverd;66;Fumier;Mest;1;0;1
2019;PE délivrés;MV afgeleverd;91;Marbre;Marmer;1;0;1
2018;PU délivrés;SV afgeleverd;8.;Utiliser un terrain pour le dépôt, pour le stationnement de véhicules ou pour le placement d'installations mobiles pouvant être utilisées pour l'habitation (cfr chap. II et chap. III, section 6 de l'arrêté);"Een terrein gebruiken voor het stallen, voor het parkeren van voertuigen of voor de plaatsing van mobiele installaties die voor 
bewoning gebruikt kunnen worden (cf. hfdstk. II en hfdstk. III, afdeling 6 van het besluit)";5;2;3
2018;PE introduits;MV ingediend;3;Accumulateurs électriques;Elektrische accumulatoren;25;6;19
2018;PE introduits;MV ingediend;121;Produits dangereux (dépôts);Gevaarlijke producten (opslagplaatsen);20;1;19
2018;PE introduits;MV ingediend;152;Véhicules (Stationnement);Voertuigen (parkeren);20;0;20
2018;PE introduits;MV ingediend;59;Explosifs, airbags;Explosieven, airbags;4;2;2
2018;PE introduits;MV ingediend;82;Imprimerie;Drukkerijen;1;0;1
2018;PE introduits;MV ingediend;48;Traitement mécanique déchets non dangereux;Ongevaarlijke afvalstoffen (mechanische bewerking);0;0;0
2018;PE introduits;MV ingediend;74;Bouteilles, bonbonnes;Gasflessen, spuitbus;0;0;0
2018;PE introduits;MV ingediend;138;Cabine de peinture, carosserie, vernis;Spuitcabine, verfcabine, carrosserie, vernis;0;0;0
2018;PE délivrés;MV afgeleverd;45;Déchets dangereux (dépôt);Gevaarlijke afvalstoffen (opslag);22;0;22
2018;PE délivrés;MV afgeleverd;64;Fours;Ovens;12;3;9
2018;PE délivrés;MV afgeleverd;47;Déchets non dangereux (dépôt);Niet gevaarlijke afvalstoffen (opslagplaats);11;1;10
2018;PE délivrés;MV afgeleverd;125;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;3;0;3
2018;PE délivrés;MV afgeleverd;172;Loisirs;Recreatie;3;0;3
2018;PE délivrés;MV afgeleverd;15;Béton;Beton;1;0;1
2018;PE délivrés;MV afgeleverd;24;Brasseries;Bierbrouwerijen;1;0;1
2018;PE délivrés;MV afgeleverd;150;Véhicules neufs (dépôts);Nieuwe voertuigen (opslagplaat-sen);1;0;1
2018;PE délivrés;MV afgeleverd;20;Bois traitement;Houtbehandeling;0;0;0
2018;PE délivrés;MV afgeleverd;29;Chantiers;Werven;0;0;0
